Flako Trasverso
Juan Garompo
Krosty Ganzua
Pinch Dominguez
Damme Kesito
Hillman Pereyra
Partey Dominguez
Stockwell Quesada
Cheto DaSilva
Elber Galarga
Shawn Cachamai
Vinicius Sin
Sevelinda Dorapa
Ching Chinchulin
Chilton Gakorta
Miroslav Rusito
Rigo Leau
Bernd Untersteer
Dieter Von Heil
Hans Footdown
Hitolf Adler
Hugo Fast
Kaiser Vollgas
Karl Guterpilot
Klaus Übersteer
Otto Bierhelm
Mette Sakka
Ulf Metesen
Pirincho Díaz
Arnulfo Trueke
Carles Maraño
Chulo Peteri
Juancho Talarga
Mal Armando
Perez Troika
Vicente Gasoil
Pino Silvestre
Tete Pepin
Virgil Pechacaq
Mark Fullthrottle
Percival Goodpace
Pete Slipstream
Shake Myhand
Michael Birulo
Slim Accelerato
Paul Morlacko
Kueva Saladda
Shura McPinch
Cop Mulligan
Mick Sentate
Phil McFasty
Andrea Crotto
Carlo Pappolongo
Enzo Dappe
Gino Macarroni
Gio Polenta
Jack Gambeta
Kelle Pasava
Kete Passa
Mando Frutta
Mario Ravioli
Paolo Spaghetti
Piero Campioni
Pino Buchacca
Rocco Antipasti
Toto Serenata
Miko Nunchaku
Sakon Matraka
Tse Sakamoto
Kito Banzai
Kevin Pirongo
Skitt Machaku
Alex Pombo
Jim Manopla
Shiloh Jimenez
Bolo Fekal
Peter Groncho
Andy Mendieta
Holly Sikorsky
Zack Metrescu
Boris Burnout
Chinno Trosky
Klingon Popinsky
Pavel Voludin
Ivan Pitulin
Dex Winrace
Lars Overdriven
Sven Karajo
Bolud Elkotur
Ahmed Bomb
Hasan Sali Baba
Rahid Muslim
Sheik Malambo
Ahmed Al-Kaboom
Sheikh BoomThrottle
Volo Putup
Billy Lampazzo
Buck Shifter
Cash Dubois
Chuck Tornado
Danny Paletto
Dave Gargiulo
Dick Palumbo
Matt LaPallita
Mitch Bazooka
Nick Nitrous
Rick Pegasus
Ricky Piston
Sandy Darrea
Stan Onthrottle
Steve Falo
Tony Traction
Trump Miranda
Turbo McSpeed
Vince Crossline
Zeke Garloch
Willy Sandia
